name,id
广东民生,gdms
广东少儿,gdse
迪士尼频道,disney
Animax 卡通,animax-cartoon
DreamWorks 梦工厂动画,dreamworks
小尼克频道,nick-jr
尼克儿童频道,nickelodeon
MOMO 亲子台,momo-kids
东森幼幼台,ebc-yoyo
CN卡通,cn-cartoon
靖天卡通台,jtkt
靖天育乐台,jtyl
i-Fun 动漫台,i-fun
ELTV生活英語台,eltv
Boomerang HD,boomerang-hd
靖洋卡通 NiceBingo,nice-bingo
达文西频道,da-vinci
探索频道,discovery
探索科学频道,discovery-sci
探索亚洲频道,discovery-asia
DMAX,dmax
History 频道,history
History-2 频道,history-2
Love Nature,love-nature
国家地理 野生频道,natgeo-wild
民视旅游,ftv-travel
美食星球频道,food-planet
EYE 旅游台,eye-travel
ELTA 生活旅游台,elta-lifetravel
车迷TV,motorvision
动物星球频道,animal-planet
TLC 旅游生活頻道,tlc
亚洲旅游台,asia-travel
Asian Food Network,asian-food-network
CI 罪案侦查频道,ci
滚动力 rollor,rollor
LUXE TV Channel,luxe-tv
NHK General,nhk-g
NHK Education,nhk-e
日本电视台,nippon-tv
TBS TV,tbs-tv
富士电视台,fujitv
朝日电视台,tv-asahi
东京电视台,tv-tokyo
JSPORTS 1,jsports1
JSPORTS 2,jsports2
JSPORTS 3,jsports3
JSPORTS 4,jsports4
KBS 1,kbs-1
KBS 2,kbs-2
KBS Drama,kbs-drama
KBS Story,kbs-story
KBS Life,kbs-life
KBS Joy,kbs-joy
KBS Kids,kbs-kids
KBSWorld,kbsworld
KBS NEWS,kbs-news
SBS,sbs
SBS Plus,sbs-plus
SBS funE,sbs-fune
SBS M,sbs-m
