origin,target
28.CCTV-8电视剧-1080P,CCTV8
29.CCTV-9纪录-1080P,CCTV9
2.湖北卫视-1080P,湖北卫视
30.CCTV-10科教-1080P,CCTV10
31.CCTV-11戏剧-1080P,CCTV11
32.CCTV-12社会与法-1080P,CCTV12
33.CCTV-14少儿-1080P,CCTV14
34.CCTV-15音乐-1080P,CCTV15
35.CCTV-16奥林匹克-1080P,CCTV16
37.湖南金鹰卡通-1080P,金鹰卡通
38.北京卫视-1080P,北京卫视
39.浙江卫视-1080P,浙江卫视
3.武汉1-新闻综合-720P,武汉新闻综合
40.江苏卫视-1080P,江苏卫视
41.上海东方卫视-1080P,东方卫视
42.湖南卫视-1080P,湖南卫视
43.辽宁卫视-1080P,辽宁卫视
44.山东卫视-1080P,山东卫视
45.广东卫视-1080P,广东卫视
46.四川卫视-1080P,四川卫视
47.江西卫视-1080P,江西卫视
48.天津卫视-1080P,天津卫视
49.安徽卫视-1080P,安徽卫视
4K,4K综艺
4KUHD,纯享4k
4K央视,纯享4k
4K欢笑剧场,欢笑剧场
4K综艺_我的,4K综艺
4K超清,北京4K
4K超清1,北京4K
4K超清2,北京4K
50.河北卫视-1080P,河北卫视
51.山西卫视-576P,山西卫视
52.海南卫视-1080P,海南卫视
53.贵州卫视-1080P,贵州卫视
54.黑龙江卫视-1080P,黑龙江卫视
55.深圳卫视-1080P,深圳卫视
56.陕西卫视-576P,陕西卫视
57.内蒙古卫视-576P,内蒙古卫视
58.重庆卫视-1080P,重庆卫视
59.广西卫视-1080P,广西卫视
5.武汉3-科技生活-720P,武汉科技生活
60.福建东南卫视-1080P,东南卫视
61.吉林卫视-1080P,吉林卫视
62.山东教育电视台-576P,山东教育卫视
63.宁夏卫视-1080P,宁夏卫视
64.云南卫视-576P,云南卫视
65.甘肃卫视-576P,甘肃卫视
66666,民视
66.广东嘉佳卡通-1080P,嘉佳卡通
67.北京卡酷少儿-1080P,卡酷少儿
68.河南卫视-1080P,河南卫视
6.武汉4-经济-1080P,武汉经济
70.新疆卫视-576P,新疆卫视
71.新疆兵团卫视-576P,兵团卫视
72.西藏卫视-576P,西藏卫视
73.CGTN-1080P,CGTN
75.CGTN阿拉伯语-1080P,CGTN阿语
76.CGTN俄语-1080P,CGTN俄语
77.CGTN法语-1080P,CGTN法语
78.CGTN西班牙语-1080P,CGTN西语
7.武汉5-文体-720P（有时版权原因无法播放）,武汉文体
83.凤凰中文-1080P,凤凰中文
84.凤凰资讯-1080P,凤凰资讯
85.凤凰香港-720P,凤凰香港
86.TVB翡翠台-720P,翡翠台
87.HKS香港卫视-720P,HKS
8.武汉6-外语-1080P,武汉外语
9.武汉教育电视台-1080P,武汉教育电视台
AHWS,安徽卫视
AMC最愛電影,AMC
AMC最爱电影,AMC
AMC电影,AMC
ANIMAL PLANET,动物星球
ANIMALPLANETTV,动物星球
ANIMAX高清,ANIMAX
BABYFIRST宝宝世界,BABYFIRST
BABYTV(台湾),BABYTV
BBC,BBCWORLDNEWS
BBCLIFESTYLE(高清),BBCLIFESTYLE
BBCWORLDNEWSHD,BBCWORLDNEWS
BBC儿童亚洲,CBEEBIES
BBC地球,BBCEARTH
BBC生活,BBCLIFESTYLE
BESTV星光影院,星光影院
BESTV黑莓电影,黑莓电影
BLUEANT综艺娱乐,BLUEANTENTERTAINMENT
BLUEANT超级娱乐,BLUEANTEXTREME
BOOM动画,BOOMERANG
BRTV冬奥纪实,冬奥纪实
BRTV新闻,北京新闻
BRTV纪实科教,冬奥纪实
BRTV纪实科教8K,冬奥纪实
BTV体育休闲,BTV体育
BTV体育休闲(高清),BTV体育
BTV北京卫视,北京卫视
BTV卡酷少儿,卡酷少儿
BTV影视,北京影视
BTV文艺,北京文艺
BTV新闻,北京新闻
BTV生活,北京生活
BTV科教,北京科教
BTV纪实科教,BTV科教
BTV财经,北京财经
BTV青年,北京青年
C15C15,CCTV15
CARTNNITO,BOOMERANG
CATCHPLAY电影高清,CATCHPLAY电影
CBN-幸福娱乐,幸福娱乐
CBN幸福娱乐,幸福娱乐
CBN每日影院,每日影院
CBN-风尚生活,风尚生活
CBN风尚生活,风尚生活
CCTV,cctv1
CCTV0001,cctv1
CCTV_01,cctv1
CCTV_01综合,cctv1
CCTV_02,CCTV2
CCTV_02财经,CCTV2
CCTV_03综艺,CCTV3
CCTV_04中文国际,CCTV4
CCTV_05体育,CCTV5
CCTV_06电影,CCTV6
CCTV_07国防军事,CCTV7
CCTV_08电视剧,CCTV8
CCTV_09纪录,CCTV9
CCTV1,CCTV1
CCTV_1,CCTV1
CCTV-1,cctv1
CCTV-10,CCTV10
CCTV10H,CCTV10
CCTV10HD,CCTV10
CCTV-10科学,CCTV10
CCTV_10科教,CCTV10
CCTV-10科教,CCTV10
CCTV10科教,CCTV10
CCTV-10高清,CCTV10
CCTV-11,CCTV11
CCTV11080,cctv1
CCTV1[1920*1080],cctv1
CCTV11H,CCTV11
CCTV_11戏曲,CCTV11
CCTV-11戏曲,CCTV11
CCTV11戏曲,CCTV11
CCTV-11戏曲HD,cctv11
CCTV-11高清,CCTV11
CCTV-12,CCTV12
CCTV12H,CCTV12
CCTV12HD,CCTV12
CCTV-12法治,CCTV12
CCTV-12社会,CCTV12
CCTV_12社会与法,CCTV12
CCTV-12社会与法,CCTV12
CCTV12社会与法,CCTV12
CCTV-12社会与法HD,cctv12
CCTV-12高清,CCTV12
🆕CCTV13,CCTV13
CCTV-13,CCTV13
CCTV13.CN,CCTV13
CCTV13F,CCTV13
CCTV13H,CCTV13
CCTV13HD,CCTV13
CCTV_13新闻,CCTV13
CCTV-13新闻,CCTV13
CCTV13新闻,CCTV13
CCTV-13高清,CCTV13
CCTV-14,CCTV14
CCTV14H,CCTV14
CCTV14HD,CCTV14
CCTV1-4K,CCTV1
CCTV1-4K1,CCTV1
CCTV1-4K2,CCTV1
CCTV1-4K3,CCTV1
CCTV1-4K4,CCTV1
CCTV1-4K5,CCTV1
CCTV1-4K6,CCTV1
CCTV_14少儿,CCTV14
CCTV-14少儿,CCTV14
CCTV14少儿,CCTV14
CCTV-14少儿HD,cctv14
CCTV-14高清,CCTV14
CCTV-15,CCTV15
CCTV15.CN,CCTV15
CCTV15H,CCTV15
CCTV15HD,CCTV15
CCTV_15音乐,CCTV15
CCTV-15音乐,CCTV15
CCTV15音乐,CCTV15
CCTV-15音乐HD,cctv15
CCTV-15高清,CCTV15
CCTV-16,CCTV16
CCTV164K,CCTV16
CCTV-16 4K,CCTV16
CCTV16-4K,CCTV16
CCTV164K（SDR）,CCTV16
CCTV16.CN,CCTV16
CCTV16H,CCTV16
CCTV16HD,CCTV16
CCTV_16奥林匹克,CCTV16
CCTV-16奥林匹克,CCTV16
CCTV16-奥林匹克,CCTV16
CCTV16奥林匹克,CCTV16
CCTV-16奥林匹克4K,CCTV16
CCTV16-奥林匹克4K,CCTV16
CCTV-16奥运4K,CCTV16
CCTV16超高清,CCTV16
CCTV-16 高清,CCTV16
CCTV-16高清,CCTV16
CCTV17H,CCTV17
CCTV17HD,CCTV17
CCTV-17农业,CCTV17
CCTV17农业,CCTV17
CCTV_17农业农村,CCTV17
CCTV-17农业农村,CCTV17
CCTV17-农业农村,CCTV17
CCTV17农业农村,CCTV17
CCTV-17高清,CCTV17
CCTV18,CCTV5+
CCTV18M,cctv1
CCTV18M1080,CCTV1
CCTV1.CN,CCTV1
CCTV1F,CCTV1
CCTV1H,CCTV1
CCTV1HD,CCTV1
CCTV-1HD,CCTV1
CCTV-1-HD,CCTV1
CCTV1-HD,CCTV1
CCTV1「IPTV」,CCTV1
CCTV1MAX16M1080,CCTV1
CCTV-1綜合頻道,CCTV1
CCTV-1 综合,cctv1
CCTV-1综合,CCTV1
CCTV1-综合,CCTV1
CCTV1综合1,cctv1
CCTV-1综合（1080P）,CCTV1
CCTV-1综合频道,CCTV1
CCTV1-综合频道,CCTV1
CCTV1综合频道,CCTV1
CCTV-1综合(高清),CCTV1
CCTV-1综合[高清],CCTV1
CCTV1综合高清,cctv1
CCTV1综合(高清),cctv1
CCTV1超高清,CCTV1
CCTV-1高清,CCTV1
CCTV1-高清,CCTV1
CCTV1（高清）,CCTV1
CCTV1高清,CCTV1
CCTV1高清综合,cctv1
CCTV2,CCTV2
CCTV-2,CCTV2
CCTV21,CCTV2
CCTV2C,CCTV2
CCTV2F,CCTV2
CCTV2H,CCTV2
CCTV2HD,cctv2
CCTV2经济,CCTV2
CCTV-2财经,CCTV2
CCTV2财经,CCTV2
CCTV-2财经[高清],CCTV2
CCTV-2[高清],CCTV2
CCTV-2高清,CCTV2
CCTV2-高清,cctv2
CCTV-3,CCTV3
CCTV34K,CCTV3
CCTV3-4K,CCTV3
CCTV3F,CCTV3
CCTV3H,CCTV3
CCTV3HD,cctv3
CCTV-3综艺,CCTV3
CCTV3综艺,CCTV3
CCTV-3高清,CCTV3
CCTV-4,CCTV4
CCTV4AME,CCTV4美洲
CCTV4EUO,CCTV4欧洲
CCTV4F,CCTV4
CCTV4H,CCTV4
CCTV4HD,cctv4
CCTV-4K,CCTV4K
CCTV4K1,CCTV4K
CCTV4K2,CCTV4K
CCTV-4K-25P-HLG源,CCTV4K
CCTV-4K25P-SDR-百事通源,CCTV4K
CCTV4K3,CCTV4K
CCTV4K.CN,CCTV4K
CCTV4K-HD,CCTV4K
CCTV-4K超高清,CCTV4K
CCTV4K-超高清1,CCTV4K
CCTV4K-超高清2,CCTV4K
CCTV4K-超高清3,CCTV4K
CCTV4K-超高清F,CCTV4K
