id,album,artist,url,cover,desc
348,The Search,陳奕迅,https://www.qobuz.com/us-en/album/-/t5dkiicw3tr8b,https://static.qobuz.com/images/covers/8b/tr/t5dkiicw3tr8b_230.jpg,"Asia - Released by Universal Music Ltd. on Nov 20, 2020"
349,Best of Kary,Kary Ng,https://www.qobuz.com/us-en/album/best-of-kary-kary-ng/aq3grfmxa5qwc,https://static.qobuz.com/images/covers/wc/5q/aq3grfmxa5qwc_230.jpg,"Asia - Released by Cinepoly Records Co. Ltd. on Feb 13, 2018"
350,Chong Qian Ming Yue Gaung,Anita Mui,https://www.qobuz.com/us-en/album/chong-qian-ming-yue-gaung-anita-mui/0886444892018,https://static.qobuz.com/images/covers/18/20/0886444892018_230.jpg,"Asia - Released by Sony Music Entertainment on Feb 16, 1998"
351,HARMONY : SET IN,P1Harmony,https://www.qobuz.com/us-en/album/harmony-set-in-p1harmony/wj6l8pn3ojw6a,https://static.qobuz.com/images/covers/6a/jw/wj6l8pn3ojw6a_230.jpg,"Asia - Released by FNC Entertainment on Nov 30, 2022"
352,When We Were Young,Eric Chou,https://www.qobuz.com/us-en/album/when-we-were-young-eric-chou/hmf54qvnppifa,https://static.qobuz.com/images/covers/fa/pi/hmf54qvnppifa_230.jpg,"Asia - Released by Sony Music Entertainment on Jan 7, 2020"
353,LOOK,Apink,https://www.qobuz.com/us-en/album/look-apink/kimmxh8mxt0fa,https://static.qobuz.com/images/covers/fa/t0/kimmxh8mxt0fa_230.jpg,"Asia - Released by PLAY M ENTERTAINMENT CORP. on Apr 13, 2020"
354,Habit,Sekai No Owari,https://www.qobuz.com/us-en/album/habit-sekai-no-owari/hng4xeo735ija,https://static.qobuz.com/images/covers/ja/5i/hng4xeo735ija_230.jpg,"J-Pop - Released by Universal Music LLC on Apr 28, 2022"
355,あてもなく(Special Edition),Aimer,https://www.qobuz.com/us-en/album/special-edition-aimer/dmdcqrotf4aka,https://static.qobuz.com/images/covers/ka/4a/dmdcqrotf4aka_230.jpg,"J-Pop - Released by Sony Music Labels Inc. on May 10, 2023"
356,Hotel del Luna (Original Television Soundtrack),Various Artists,https://www.qobuz.com/us-en/album/hotel-del-luna-original-television-soundtrack-various-artists/k2icnsk1vebeb,https://static.qobuz.com/images/covers/eb/eb/k2icnsk1vebeb_230.jpg,"K-Pop - Released by Beyond Music on Aug 31, 2019"
357,Naul <Ballad Pop City>,Taeyeon,https://www.qobuz.com/us-en/album/naul-ballad-pop-city-taeyeon/jqkdon7wfccdc,https://static.qobuz.com/images/covers/dc/cc/jqkdon7wfccdc_230.jpg,"Asia - Released by Long Play Music on Feb 2, 2023"
358,Promise,CoCo Lee,https://www.qobuz.com/us-en/album/promise-coco-lee/0886446806662,https://static.qobuz.com/images/covers/62/66/0886446806662_230.jpg,"Asia - Released by Epic on Oct 12, 2001"
359,MOTH,WooSung,https://www.qobuz.com/us-en/album/moth-woosung/mk2juibfv8vbc,https://static.qobuz.com/images/covers/bc/8v/mk2juibfv8vbc_230.jpg,"K-Pop - Released by Transparent Arts on May 13, 2022"
